	en	zh
163	fantastic !	很棒！
164	feel this .	来感受一下这个。
165	follow me .	请跟我来。
166	follow us .	请跟着我们。
167	forget it .	算了。
168	good luck .	祝你好运。
169	goodnight .	晚安。
170	grab that .	抓住那个。
171	grab this .	抓住这个。
172	hands off .	别碰！
173	he's a dj .	他是一个 dj 。
174	he's busy .	他很忙。
175	he's lazy .	他很懒。
176	hold fire .	停火。
177	how awful !	太可怕了。
178	how weird !	多怪啊！
179	i am cold .	我冷。
180	i am okay .	我没事。
181	i am sick .	我生病了。
182	i am tall .	我个子高。
183	i clapped .	我拍手。
184	i get you .	我了解你。
185	i give up .	我放弃。
186	i hope so .	我希望如此。
187	i laughed .	我笑了。
188	i promise .	我向你保证。
189	i saw tom .	我看见汤姆了。
190	i was shy .	我害羞。
191	i'll swim .	我要游泳。
192	i'm a man .	我是个男人。
193	i'm bored .	我觉得很无聊。
194	i'm first .	我是第一。
195	i'm lucky .	我运气很好。
196	i'm right .	我是对的。
197	i'm sober .	我很清醒。
198	i'm sorry .	对不起。
199	i'm sorry .	我很抱歉。
200	i'm tired .	我很累。
201	i'm young .	我还年轻。
202	is it far ?	远吗？
203	it rained .	下了雨。
204	it snowed .	下雪了。
205	it's 3:30 .	3点半了。
206	it's 7:45 .	现在是七点四十五分。
207	it's 7:45 .	现在是7点45分。
208	it's cold .	天很冷。
209	it's food .	它是食物。
210	it's free .	它是免费的。
211	it's late .	很晚了。
212	it's true .	这是真的。
213	keep them .	留着吧。
214	kill them .	杀了他们
215	let me in .	让我进去。
216	lie still .	躺着不动。
217	look back !	回头看！
218	move over .	腾一下地方。
219	of course !	当然 !
220	of course .	当然是的。
221	of course .	当然。
222	of course .	当然了。
223	oh please !	噢拜托了！
224	open fire !	开火！
225	read this .	念这个。
226	see above .	参见上文。
227	she cried .	她哭了。
228	she tried .	她试过了。
229	she walks .	她在行走。
230	sit tight .	耐心等着。
231	slow down .	慢一点。
232	stay calm .	保持冷静。
233	stay down !	趴着！
234	stop that !	住手。
235	take care !	照顾好自己。
236	take care .	照顾好自己。
237	take mine .	拿我的。
238	thank you .	谢谢。
239	they left .	他们离开了。
240	time's up .	时间到了。
241	tom slept .	汤姆睡了。
242	tom swims .	tom游泳。
243	tom waved .	汤姆挥手了。
244	tom'll go .	汤姆要走。
245	try again .	再试一下。
246	turn left .	向左转。
247	wait here .	在这等着。
248	watch out !	当心！
249	well done !	做得好！
250	well done !	干的好！
251	who cares ?	爱谁谁。
252	who knows ?	谁知道？
253	who's she ?	她是谁？
254	wonderful !	很棒！
255	you idiot !	蠢货！
256	you stink .	你身上发臭了。
257	all aboard !	请上船！
258	am i wrong ?	我错了吗？
259	be on time .	要守时！
260	be patient .	耐心等着。
261	birds sing .	鸟儿歌唱。
262	can i help ?	我可以帮忙吗 ?
263	come on in .	进来。
264	definitely !	必须的！
265	don't fret .	别担心。
266	don't move !	别动！
267	don't move .	不要动。
268	don't move .	不要动 .
269	don't wait .	不要等待！
270	fill it up .	把它填满。
271	follow him .	跟著他走。
272	go on home .	回家吧。
273	go wash up .	去洗洗吧。
274	god exists .	上帝存在。
275	good night .	晚安。
276	he gave in .	他让步了 .
277	he is a dj .	他是一个 dj 。
278	he is busy .	他很忙。
279	he is lazy .	他很懒。
280	he is mean .	他很凶。
281	he is poor .	他很穷。
282	he is tall .	他高。
283	hello , tom .	你好，汤姆。
284	hey , relax .	嘿，放松点。
285	how lovely !	多可爱啊！
286	how's work ?	工作怎么样？
287	hurry home .	赶快回家。
288	i am a man .	我是个男人。
289	i am short .	我个头矮。
290	i can cook .	我会做饭。
291	i can swim .	我会游泳。
292	i can't go .	我不能走。
293	i can't go .	我走不了。
294	i chew gum .	我嚼口香糖。
295	i eat here .	我在这里吃。
296	i envy her .	我嫉妒她。
297	i envy him .	我羡慕他。
298	i feel sad .	我很难过。
299	i hate you .	我恨你。
300	i know tom .	我认识汤姆。
301	i know him .	我认识他。
302	i like tea .	我喜欢茶。
303	i like you .	我喜欢你。
304	i like you .	我喜欢你。
305	i like you .	我喜欢你！
306	i love her .	我爱她。
307	i love you .	我爱您。
308	i miss him .	我想念他。
309	i miss you .	我想念你。
310	i need you .	我需要你。
311	i promised .	我答应了。
312	i think so .	我想是这样的。
313	i use this .	我使用这个。
314	i want you .	我想要你。
315	i'll do it .	我会做的。
316	i'm 30 now .	我现在30岁了。
317	i'm a hero .	我是个英雄。
318	i'm a liar .	我是个骗子。
319	i'm buying .	我买了。
320	i'm coming .	我来啦。
321	i'm eating .	我正在吃东西。
322	i'm faster .	我更快。
323	i'm humble .	我是谦虚的。
324	i'm single .	我单身。
325	i'm single .	我单身。
326	i'm sleepy .	我困了。
327	i'm so fat .	我好胖哦。
328	i'm thirty .	我三十岁。
329	i'm twelve .	我十二岁了。
330	ignore tom .	别理汤姆。
331	is he tall ?	他长得高吗？
332	is it love ?	那是爱吗？
333	is it true ?	是真的吗？
334	it is 7:45 .	现在是七点四十五分。
335	it is 7:45 .	现在是7点45分。
336	it's great .	真是太好了。
337	it's night .	是晚上了。
338	just relax .	放松点吧。
339	keep going .	继续吧。
340	keep it up !	坚持。
341	keep it up .	坚持。
342	keep quiet !	保持安静！
343	keep quiet .	保持安静！
344	let him in .	让他进来。
345	let me die .	让我去死。
346	let me see .	让我想一想。
347	let me try .	让我试试。
348	let me try .	让我来。
349	let's play .	让我们玩耍吧。
350	let's pray .	让我们开始祈祷吧。
351	let's walk .	我们走走吧。
352	look there .	看那里。
353	no comment .	禁止评论。
354	no comment .	无可奉告。
355	no problem !	没问题！
356	no problem .	没关系。
357	no problem .	没问题。
358	no problem .	没事。
359	oh , really ?	噢，真的吗 ?
360	once again .	再一次。
361	please sit .	请用座。
362	she smiled .	她笑了。
363	stand back !	往后站！
364	stay sharp .	保持警惕。
365	stay still .	别动。
366	stay there .	留在这里别动。
367	step aside .	让开。
368	study hard .	好好学习。
369	that hurts .	真疼。
370	that's wet .	那是湿的。
371	time flies .	时光飞逝。
372	time flies .	时间匆匆走过。
373	tom failed .	汤姆失败了。
374	tom is ill .	汤姆生病了。
375	tom is ill .	汤姆病了。
376	tom is shy .	汤姆害羞。
377	tom smiled .	汤姆笑了。
378	tom yawned .	汤姆打哈欠了。
379	tom's sick .	汤姆生病了。
380	tom's sick .	汤姆病了。
381	turn right .	向右转。
382	we laughed .	我们笑了。
383	we lost it .	我们失去了它。
384	we'll cook .	我们会做饭的。
385	we're boys .	我们是男孩。
386	what is it ?	它是什么？
387	what's new ?	有什么新鲜事吗？
388	where am i ?	我在哪里？
389	where am i ?	这是什么地方 ?
390	who are we ?	我们是谁？
391	who is she ?	她是谁？
392	who's next ?	下一个是谁？
393	who's that ?	这是谁啊？
394	wood burns .	木材燃烧。
395	you got me .	算你狠。
396	you may go .	您可以走了。
397	are we done ?	我们完成了吗？
398	are you tom ?	你是汤姆吗？
399	are you mad ?	您生气了吗？
400	are you mad ?	你生气了吗？
401	are you new ?	你是新来的吗？
402	are you sad ?	你伤心吗？
403	are you sad ?	你在难过吗？
404	be friendly .	友善点。
405	be friendly .	友好点。
406	be punctual .	要守时！
407	break it up !	停手！
408	can i begin ?	我可以开始了吗？
409	can i start ?	我可以开始了吗？
410	can you see ?	你能看吗？
411	come inside .	进来。
412	count me in .	算我一个 .
413	did tom win ?	汤姆赢了吗？
414	do as i say .	按我说的做。
415	don't laugh .	别笑！
416	don't leave !	别走！
417	don't panic !	不要恐慌！
418	don't shoot .	停火。
419	don't shout .	不许大叫。
420	don't smile .	不要微笑。
421	don't worry .	你不要着急。
422	don't worry .	别担心。
423	don't worry .	别担心。
424	get dressed .	你穿点东西。
425	get serious .	认真点。
426	have a look .	请看一看。
427	he is alone .	他独自一人。
428	he was busy .	他很忙。
429	he's a liar .	他是个骗子。
430	he's strong .	他很强壮。
431	here we are !	我们到了！
432	here , catch !	这里，快抓住。
433	how are you ?	你们好吗？
434	how are you ?	你好吗？
435	how curious !	多怪啊！
436	how is life ?	生活怎么样？
437	how strange !	真奇怪。
438	i also went .	我也去了。
439	i am coming .	我来了。
440	i am online .	我上网了。
441	i buy tapes .	我买磁带。
442	i can drive .	我会开车。
443	i can't say .	我不能说。
444	i don't lie .	我不说谎。
445	i eat bread .	我吃面包。
446	i feel cold .	我觉得冷。
447	i feel fine .	我感觉很好。
448	i feel sick .	我有点恶心。
449	i feel weak .	我感到虚弱。
450	i got lucky .	我运气很好。
451	i hate fish .	我讨厌鱼。
452	i hate wine .	我讨厌酒。
453	i have time .	我有时间。
454	i have wine .	我有酒。
455	i heard you .	我听你的。
456	i like blue .	我喜欢蓝色。
457	i like fish .	我喜欢鱼。
458	i like jazz .	我喜欢爵士乐。
459	i like them .	我喜欢他们。
460	i like wine .	我喜欢葡萄酒。
461	i live here .	我住在这。
462	i lost face .	我丢脸了。
463	i need glue .	我需要胶水。
464	i need help .	我需要帮助。
465	i overslept .	我睡过头了。
466	i overslept .	我睡过头了。
467	i read lips .	我读唇语。
468	i said that .	我是那样说的。
469	i smell gas .	我闻到瓦斯味。
470	i trust him .	我信赖他。
471	i trust him .	我信任他。
472	i trust you .	我信任你。
473	i want more .	我想要更多。
474	i was alone .	我茕茕孑立，形影相吊。
475	i was lucky .	我运气很好。
476	i was wrong .	我搞错了。
477	i was wrong .	我想错了。
478	i went , too .	我也去了。
479	i will obey .	我会听从指示。
480	i work here .	我在这里工作。
481	i'll attend .	我会参加。
482	i'll get in .	我会进去。
483	i'm 17 , too .	我也是17岁。
484	i'm a loser .	我是个不成器的人。
485	i'm a loser .	我是个输家。
486	i'm a slave .	我是个奴隶。
487	i'm at home .	我在家。
488	i'm at home .	我在家里。
489	i'm curious .	我很好奇。
490	i'm healthy .	我身体很好。
491	i'm kidding .	我开玩笑。
492	i'm married .	我结婚了。
493	i'm married .	我已婚。
494	i'm praying .	我在祈祷。
495	i'm reading .	我在读书。
496	i'm relaxed .	我很放松。
497	i'm serious .	我是认真的。
498	i'm thirsty .	我渴了。
499	is tom home ?	汤姆在家里吗？
500	is tom hurt ?	汤姆受伤了吗？
501	is tom sick ?	汤姆是不是身体不太好？
502	is tom well ?	汤姆还好吧？
503	is he right ?	他对吗？
504	is it tasty ?	好吃吗？
505	is it yours ?	这是你的吗？
506	it can't be !	这不可能！
507	it can't be !	不可能！
508	it's my job .	这是我份内的事。
509	it's spring .	春天了
510	just say no .	只要说不。
511	keep trying .	继续努力。
512	let me know .	让我知道。
513	let's begin .	让我们开始吧。
514	let's leave .	走吧。
515	let's start !	让我们开始吧。
516	let's start .	我们开始吧。
517	life is fun .	人生是有趣的。
518	look around .	四处看看。
519	lunch is on .	午餐送到了。
520	make a list .	列一个列表。
521	many thanks .	非常感谢！
522	money talks .	金钱万能。
523	nice timing .	好时机。
524	no one came .	没有人来了。
525	ok , you win .	行，你赢了。
526	ok , you win .	好吧，你赢了。
527	ok . i agree .	好。我同意。
528	please come .	请来吧。
529	please sing .	请唱歌。
530	release him .	放开他。
531	she bit him .	她咬了他。
532	she hit him .	她打了他。
533	should i go ?	我该去吗 ?
534	stand aside .	一边站着。
535	step inside .	进来。
536	that's life .	这就是生活。
537	that's life .	人生就是如此。
538	that's mine .	那是我的。
539	that's neat .	那很棒。
540	that's soft .	这很软。
541	that's true .	这是真的。
542	they hugged .	他们拥抱。
543	they kissed .	他们亲吻了。
544	this is ice .	这是冰块。
545	tom blushed .	汤姆脸红了。
546	tom clapped .	汤姆拍了手。
547	tom frowned .	汤姆皱著眉头。
548	tom got fat .	汤姆变胖了。
549	tom has won .	汤姆胜利了。
550	tom is sick .	汤姆生病了。
551	tom is sick .	汤姆病了。
552	tom laughed .	汤姆笑了。
553	tom said hi .	汤姆打了个招呼。
554	tom saw you .	汤姆看见你了。
555	tom'll wait .	汤姆会等。
556	tom's drunk .	汤姆醉了。
557	tom's happy .	汤姆高兴。
558	tom's tired .	汤姆累了。
559	tom's wrong .	汤姆错了。
560	turn around .	转过来。
561	turn it off .	把它关掉。
562	wait for me .	等等我。
563	was i wrong ?	我错了吗？
564	we both won .	我们都赢了。
565	we can rest .	我们可以休息。
566	we know him .	我们认识他。
567	we like you .	我们喜欢你们。
568	we love tom .	我们爱汤姆。
569	we want tom .	我们想要汤姆。
570	we want one .	我们要一个。
571	what a pain !	烦死人。
572	what a pity !	太可惜了！
573	what a pity !	可惜。
574	what a pity !	多遗憾啊！
575	what a pity !	真是太可惜了！
576	what is new ?	有什么新鲜事吗？
577	what's love ?	爱是什么？
578	what's that ?	那是什么？
579	what's this ?	这是什么啊？
580	what's this ?	那是什么？
581	what's this ?	这是什么 ?
582	where's tom ?	汤姆在哪儿？
583	who are you ?	你是谁？
584	who are you ?	你是谁？
585	who drew it ?	谁画的？
586	who is next ?	下一个是谁？
587	who is that ?	那是谁？
588	who is that ?	这是谁啊？
589	who's dying ?	谁要死了？
590	whose is it ?	这是谁的？
591	wood floats .	木头会漂浮。
592	work slowly .	干活慢点。
593	yes , i know .	是的，我知道。
594	you made it .	你做到了。
595	you're dumb .	你很愚蠢。
596	you're here .	你在这里。
597	you're mine .	你是我的。
598	you're sick !	你有病！
599	anything new ?	有什么新鲜事吗？
600	are you busy ?	你忙吗？
601	are you busy ?	您在忙吗？
602	are you done ?	你做好了吗 ?
603	are you free ?	你有空吗 ?
604	are you lost ?	您迷路了吗？
605	are you lost ?	你迷路了吗？
606	are you nuts ?	你不要命啦！
607	are you sure ?	你确定吗？
608	are you sure ?	你确定？
609	be realistic !	现实点！
610	be realistic .	现实点！
611	bring him in .	带他进来。
612	call tom now .	现在给汤姆打电话。
613	can we do it ?	我们能做到吗？
614	can you come ?	你能来吗？
615	can you read ?	你能阅读吗？
616	can you swim ?	你会游泳吗 ?
617	can you walk ?	你能走吗？
618	can you walk ?	你们能走吗？
619	come with us .	和我们一起来吧。
620	did you call ?	你打过电话了吗？
621	do you smoke ?	你吸烟吗 ?
622	do you smoke ?	你抽不抽烟？
623	do you smoke ?	您吸烟吗？
624	do your best .	尽力而为。
625	don't be sad .	别伤心。
626	don't be shy .	不要害羞。
627	don't bother .	不用麻烦了。
628	don't bug me .	别来烦我。
629	don't ramble .	不要东拉西扯。
630	drive safely .	安全地驾驶。
631	drive slowly .	开车慢点。
632	examine this .	调查下这个。
633	ghosts exist .	鬼魂是存在的。
634	give it back .	还回去
635	good evening .	晚上好。
636	good evening .	晚上好！
637	good morning .	早上好！
638	he got angry .	他生气了。
639	he has a car .	他有辆车。
640	he likes tea .	他喜欢茶。
641	he lost face .	他丢脸了。
642	he loves her .	他爱她。
643	he was brave .	他很勇敢。
644	he's out now .	他现在出去了。
645	how annoying !	真烦人。
646	how horrible !	真糟糕！
647	how's school ?	学校怎么样？
648	i admire you .	我欣赏你。
649	i almost won .	我几乎赢了。
650	i am chinese .	我是华人。
651	i am at home .	我在家。
652	i am at home .	我在家里。
653	i am curious .	我很好奇。
654	i ate apples .	我吃苹果了。
655	i ate apples .	我吃了苹果。
656	i ate caviar .	我吃了鱼子酱。
657	i called tom .	我给汤姆打了电话。
658	i can't stay .	我不能留下。
659	i can't walk .	我不能走。
660	i can't walk .	我走不了。
661	i cried , too .	我也哭了。
662	i don't care .	我无所谓。
663	i don't know .	我一无所知。
664	i fear death .	我怕死。
665	i got mugged .	我被抢劫了。
666	i got robbed .	我被抢劫了。
667	i have a car .	我有一辆车。
668	i have a cow .	我有一头母牛。
669	i have a dog .	我有一条狗。
670	i have a map .	我有一张地图。
671	i have money .	我有钱。
672	i have to go .	我该走了。
673	i like beans .	我喜欢豆子。
674	i like candy .	我喜欢甜食。
675	i like these .	我喜欢这些东西。
676	i love music .	我爱音乐。
677	i missed you .	我想你。
678	i missed you .	我想念你。
679	i need a cab .	我需要一辆出租车。
680	i see a book .	我看到一本书。
681	i understand .	我明白了。
682	i understand .	我懂。
683	i want a dog .	我想要一只狗。
684	i want a hug .	我想要个抱抱。
685	i wrote that .	我写了那些东西。
686	i'll sue you .	我要告你。
687	i'm all ears .	我洗耳恭听。
688	i'm bleeding .	我在流血。
689	i'm famished .	我肚子饿极了。
690	i'm fine now .	已经没事了。
691	i'm free now .	我现在有空了。
692	i'm innocent .	我是清白的。
693	i'm new here .	我是新来的。
694	i'm not busy .	我没在忙。
695	i'm not lazy .	我不懒。
696	i'm not sick .	我没生病。
697	i'm not sure .	我不确定。
698	i'm not well .	我身体不适。
699	i'm pregnant .	我怀孕了。
700	i'm reformed .	我改过自新了。
701	i'm so happy .	我好高兴。
702	i'm so happy .	我太高兴了。
703	i'm so tired !	我好累。
704	i'm so tired !	我好累啊。
705	i'm so tired .	我好累。
706	i'm so tired .	我好累啊。
707	i'm the best .	我是最好的。
708	i'm thrilled .	我激动不已。
709	i'm to blame .	这是我的错。
710	i've decided .	我决定了。
711	i've no idea .	我一无所知。
712	i've seen it .	我见过。
713	ideas matter .	想法很重要。
714	is monday ok ?	周一可以吗？
715	is tom drunk ?	汤姆喝醉了吗？
716	is tom there ?	汤姆在吗？
717	is that love ?	那是爱吗？
718	is that true ?	真的？
719	is this tofu ?	这是不是豆腐？
720	it's amazing .	太神奇了。
721	it's bedtime .	睡觉时间到了。
722	it's obvious .	很明显。
723	it's raining .	下雨了。
724	it's raining .	在下雨。
725	it's snowing .	下雪了。
726	it's snowing .	正在下雪。
727	it's so hard .	太难了。
728	it's too big .	它太大了。
729	it's too hot .	太热了。
730	keep looking .	继续看！
731	keep reading .	继续看。
732	keep smiling .	保持微笑。
733	keep working .	继续工作！
734	let tom live .	给汤姆活路！
735	let me think .	让我想一想。
736	let's go now .	我们现在去吧。
737	life goes on .	人生会继续。
738	look closely .	仔细看
739	mary came in .	玛丽进来了。
740	mary is tall .	玛丽很高。
741	may i go now ?	我现在能去了吗？
742	move quietly .	轻轻地移动。
743	my eyes hurt .	我的眼睛痛。
744	no one knows .	没有人知道。
745	no one knows .	谁也不知道。
746	nobody asked .	没人问过。
747	nobody knows .	谁也不知道。
748	open the box .	打开箱子。
749	please hurry .	请抓紧时间。
750	please leave .	请你离开。
751	see you soon !	一会儿见！
752	see you soon !	一会儿见！
753	see you then .	到时候见。
754	shame on you !	你真丢脸！
755	shame on you .	你真丢脸！
756	she is quiet .	她很安静。
757	she is upset .	她心情不好。
758	she knows me .	她认识我。
759	she may come .	她可以来。
760	she may come .	她也许来。
761	someone came .	有人来了。
762	speak softly .	你说话小点声。
763	stay with us .	和我们留在一起吧！
764	stop gawking .	别再傻看着。
765	stop reading .	别再念了。
766	stop staring .	别再盯着了。
767	stop talking .	不要说话了。
768	stop whining .	别再埋怨了。
769	stop yelling !	别再喊叫了！
770	sweet dreams !	祝你好梦。
771	take it easy .	放轻松。
772	take it easy .	别紧张。
773	take me home .	带我回家。
774	tell us more .	告诉我们多一点。
775	that is mine .	那是我的。
776	that's crazy .	那是疯狂的。
777	that's great .	那真是太好了。
778	that's right !	对了！
779	that's right .	对！
780	that's weird .	奇怪。
781	they refused .	他们拒绝了。
782	they're fake .	它们是假的。
783	they're gone .	他们离开了。
784	they're kids .	他们是孩子。
785	they're kids .	她们是孩子。
786	this is mine .	这是我的。
787	this is neat .	这很棒。
788	this is tofu .	这是豆腐。
789	this is true .	这是真的。
790	tom can walk .	汤姆能走路。
791	tom followed .	汤姆跟着。
792	tom is blind .	汤姆瞎了。
793	tom is clean .	汤姆是干净的。
794	tom is drunk .	汤姆醉了。
795	tom is happy .	汤姆高兴。
796	tom is smart .	汤姆脑子好使。
797	tom is tired .	汤姆累了。
798	tom knows me .	tom认识我。
799	tom sat down .	汤姆坐下了。
800	tom told him .	汤姆告诉了他。
801	tom vanished .	汤姆不见了。
802	tom was full .	汤姆饱了。
803	tom's lonely .	汤姆很孤独。
804	tom's thirty .	汤姆今年三十岁。
805	tom , wake up .	汤姆，快起来！
806	try it again .	再试一次。
807	try it again .	再试一下。
808	unbelievable !	难以置信 !
809	unbelievable !	难以置信！
810	vote for tom .	投票给汤姆。
811	wait and see .	走著瞧
812	we are happy .	我们很快乐。
813	we can begin .	我们能开始。
814	we know that .	我们知道。
815	we know this .	我们知道。
816	we need more .	我们需要更多。
817	we overslept .	我们睡过头了。
818	we succeeded .	我们成功了。
819	we surrender .	我们投降。
820	we're adults .	我们已是成年人了。
821	we're heroes .	我们是英雄。
822	we're hiding .	我们在藏着。
823	we're humans .	我们是人。
824	we're people .	我们是人。
825	welcome back .	欢迎回来。
826	welcome home .	欢迎回家。
827	what is love ?	爱是什么？
828	what is that ?	那是什么？
829	what is that ?	那是什么啊？
830	what is this ?	这是什么啊？
831	what is this ?	这是什么 ?
832	where is tom ?	汤姆在哪儿？
833	who built it ?	这是谁建的？
834	who wants it ?	谁想要它？
835	who was here ?	谁来了这里？
836	years passed .	多少年过去了。
837	you are good .	你很好。
838	you're drunk .	你喝醉了！
839	you're sharp .	你很聪明。
840	you're smart .	你很聪明。
841	anything else ?	还有别的吗？
842	are you angry ?	您生气了吗？
843	are you angry ?	你生气了吗？
844	are you happy ?	你快乐吗？
845	are you happy ?	你开心吗？
846	are you ready ?	您准备好了吗？
847	are you ready ?	你们准备好了吗？
848	are you ready ?	你准备好了吗？
849	are you there ?	你在吗？
850	are you tired ?	你累了吗 ?
851	are you tired ?	你觉得累吗？
852	ask tom again .	再问一下汤姆吧。
853	bring the key .	带钥匙来。
854	call security !	叫保安来！
855	can i have it ?	可以给我吗？
856	can you skate ?	你会溜冰吗？
857	check , please .	请结帐。
858	did tom reply ?	汤姆有回应了吗？
859	did you write ?	你写吗 ?
860	do i know you ?	我认识你吗？
861	don't be rude .	不要失礼。
862	don't give up !	不要放弃 !
863	don't hate me .	不要恨我。
864	don't mind me .	不要管我。
865	don't tell me .	不要告诉我。
866	draw a circle .	画一个圈。
867	eat and drink .	吃吧，喝吧。
868	flowers bloom .	鲜花盛开。
869	hang in there .	坚持。
870	he dug a hole .	他挖了一个洞。
871	he has a cold .	他着凉了。
872	he is a thief .	这是一个小偷。
873	he is at home .	他在家里。
874	he is my type !	他是我的菜 !
875	he is no fool .	他不是傻子。
876	he is no fool .	他没疯。
877	he is out now .	他现在出去了。
878	he lied to me .	他对我撒谎。
879	he lied to us .	他欺骗了我们。
880	he sells cars .	他卖车子。
881	he shot at me .	他枪击了我。
882	he tries hard .	他努力地尝试。
883	he walks fast .	他走路很快。
884	he wants more .	他想要更多。
885	he's american .	他是美国人。
886	he's not home .	他不在家。
887	he's studying .	他在读书。
888	how about you ?	你怎么样？
889	how about you ?	那你呢 ?
890	how about you ?	你们呢？
891	how about you ?	您呢？
892	how beautiful !	多美啊！
893	i am divorced .	我离婚了。
894	i am sneezing .	我打喷嚏了。
895	i am very sad .	我很难过。
896	i approved it .	我赞同。
897	i believe you .	我相信你。
898	i came by car .	我开车来的。
899	i can see tom .	我看得见汤姆。
900	i can't do it .	我无法做到这一点。
901	i can't do it .	我做不到。
902	i can't leave .	我不能走。
903	i can't leave .	我走不了。
904	i despise you .	我鄙视你。
905	i did my best .	我做得好到不能再好了。
906	i didn't pass .	我没通过。
907	i didn't sing .	我没唱歌。
908	i don't smoke .	我不抽烟。
909	i fed the dog .	我喂过狗了。
910	i feel lonely .	我觉得很孤独。
911	i feel unwell .	我感觉不舒服。
912	i felt lonely .	我觉得很孤独。
913	i got it free .	我是免费得到的。
914	i hate french .	我讨厌法语。
915	i hate winter .	我恨冬天。
916	i hate winter .	我讨厌冬天。
917	i have a bike .	我有一辆自行车。
918	i have a boat .	我有一艘小船。
919	i have a cold .	我感冒了。
920	i have a home .	我有一个家。
921	i have an egg .	我有一只蛋。
922	i have to win .	我必须赢。
